nav_id,start_ts,end_ts,duration_s,status,start_x,start_y,end_x,end_y,end_yaw,initial_plan_length_m,replans,rec_backup,rec_spin,rec_wait,distance_traveled_m,avg_linear_speed,max_linear_speed,time_stopped_s,direction_reversals
58dd06cd,69.190,85.286,16.10,SUCCEEDED,-0.000,-0.000,4.020,-0.253,0.259,4.110,18,0,0,0,4.049,0.252,0.300,1.522,0
adfe57bb,86.624,97.889,11.27,SUCCEEDED,4.020,-0.253,5.271,1.179,0.315,2.026,12,0,0,0,1.921,0.171,0.300,4.205,0
92c550cf,99.300,118.807,19.51,SUCCEEDED,5.271,1.179,9.862,1.196,0.025,4.513,21,0,0,0,4.593,0.236,0.300,0.720,0
e9b1cdb3,120.212,126.778,6.57,SUCCEEDED,9.862,1.196,10.493,2.137,1.178,1.332,7,0,0,0,1.133,0.173,0.300,2.420,0
3b2c5bc6,128.131,317.048,188.92,SUCCEEDED,10.493,2.137,12.103,5.726,1.118,7.123,185,2,1,1,16.384,0.087,0.300,112.633,26
60a6447d,318.261,360.098,41.84,SUCCEEDED,12.103,5.726,6.292,6.262,2.680,7.804,48,0,0,0,7.830,0.188,0.300,13.510,0
122f9ff0,361.414,411.766,50.35,SUCCEEDED,6.292,6.262,2.227,2.157,-2.052,7.142,55,0,0,0,7.501,0.149,0.300,22.525,0
