t_wall,px,py,yaw_deg,plan_rel_deg,front_obst_m,cmd_nav_vx,cmd_nav_wz
1788372666.808,1.000,1.000,-0.0,,3.367,0.0000,0.0000
1788372667.008,1.000,1.000,-0.0,,3.367,0.0000,0.0000
1788372667.762,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372667.787,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372667.813,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372667.881,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372668.115,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372668.336,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372668.579,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372668.834,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372669.049,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372669.253,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372669.499,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372669.760,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372669.976,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372670.224,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372670.453,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372670.661,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372670.870,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372671.091,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372671.324,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372671.539,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372671.749,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372672.031,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372672.252,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372672.456,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372672.682,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372672.901,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372673.150,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372673.361,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372673.577,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372673.811,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372674.028,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372674.255,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372674.481,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372674.707,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372674.912,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372675.140,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372675.348,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372675.583,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372675.812,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372676.035,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372676.242,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372676.445,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372676.681,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372676.894,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372677.100,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372677.315,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372677.551,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372677.797,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372678.027,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372678.266,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372678.483,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372678.703,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372678.930,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372679.169,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372679.389,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372679.613,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372679.843,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372680.064,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372680.270,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372680.492,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372680.715,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372680.923,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372681.131,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372681.368,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372681.588,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372681.799,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372682.018,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372682.242,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372682.454,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372682.658,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372682.881,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372683.096,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372683.298,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372683.505,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372683.727,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372683.935,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372684.142,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372684.361,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372684.586,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372684.790,1.000,1.000,0.0,,3.367,0.0000,0.0000
