volta,t,state,reason,ang,nav_wants,stuck_s,x,y
contornoA1,11.577,monitoring,,0.0,0,,-0.0,-0.0
contornoA2,16.092,monitoring,,0.0,0,,0.0,0.0
contornoA3,15.943,monitoring,,0.0,0,,0.0,0.0
contornoA4,18.713,monitoring,,0.0,0,,0.0,0.0
contornoA4,264.0,advancing,timeout,0.0,1,15.08,0.877,6.002
contornoA4,265.0,grace,timeout,0.0,1,16.11,0.676,6.022
contornoA4,267.0,monitoring,timeout,0.0,1,,0.674,6.022
