volta,goal_n,dist_ultima_amostra_m,ultima_amostra_le_0.15
contornoA1,1,0.066,sim
contornoA1,2,0.030,sim
contornoA1,3,0.053,sim
contornoA1,4,0.052,sim
contornoA1,5,0.065,sim
contornoA2,1,0.062,sim
contornoA2,2,0.050,sim
contornoA2,3,0.059,sim
contornoA2,4,0.069,sim
contornoA2,5,0.055,sim
contornoA3,1,0.047,sim
contornoA3,2,0.040,sim
contornoA3,3,0.037,sim
contornoA3,4,0.053,sim
contornoA4,1,0.031,sim
contornoA4,2,0.040,sim
contornoA4,3,0.032,sim
contornoA4,4,0.055,sim
contornoA4,5,0.066,sim
