volta,objeto,folga_min_m,eventos_COLISAO,eventos_raspao
aprox1,A_fresta90_2,0.0483,0,0
aprox1,cone_2,0.1065,0,0
aprox1,A_fresta90_1,0.1550,0,0
aprox1,C_fresta60_1,0.2072,0,0
aprox1,cone_4,0.2479,0,0
aprox1,cone_3,0.2489,0,0
aprox1,cone_1,0.2646,0,0
aprox1,B_fresta70_1,0.3058,0,0
aprox1,D_fresta80_2,0.3504,0,0
aprox1,muro_sul,0.7053,0,0
aprox1,muro_oeste,0.7500,0,0
aprox1,D_fresta80_1,1.6525,0,0
aprox2,cone_3,0.0083,0,4
aprox2,cone_2,0.0544,0,0
aprox2,A_fresta90_1,0.0655,0,0
aprox2,cone_4,0.1699,0,0
aprox2,D_fresta80_2,0.2066,0,0
aprox2,A_fresta90_2,0.2119,0,0
aprox2,C_fresta60_1,0.2379,0,0
aprox2,cone_1,0.2398,0,0
aprox2,B_fresta70_1,0.3106,0,0
aprox2,muro_sul,0.7053,0,0
aprox2,muro_oeste,0.7500,0,0
aprox2,D_fresta80_1,1.6856,0,0
aprox3,cone_2,0.0893,0,0
aprox3,A_fresta90_1,0.0907,0,0
aprox3,A_fresta90_2,0.1653,0,0
aprox3,C_fresta60_1,0.2129,0,0
aprox3,cone_4,0.2197,0,0
aprox3,B_fresta70_1,0.2618,0,0
aprox3,cone_1,0.3017,0,0
aprox3,cone_3,0.3106,0,0
aprox3,D_fresta80_2,0.4397,0,0
aprox3,muro_sul,0.7029,0,0
aprox3,muro_oeste,0.7500,0,0
aprox3,D_fresta80_1,1.6231,0,0
