volta,goal_n,dist_ultima_amostra_m,ultima_amostra_le_0.15
aprox1,1,0.040,sim
aprox1,2,0.156,NAO
aprox1,3,0.038,sim
aprox1,4,0.042,sim
aprox1,5,0.034,sim
aprox2,1,0.060,sim
aprox2,2,0.160,NAO
aprox2,3,0.124,sim
aprox2,4,0.065,sim
aprox2,5,0.092,sim
aprox3,1,0.145,sim
aprox3,2,0.160,NAO
aprox3,3,0.065,sim
aprox3,4,0.043,sim
aprox3,5,0.069,sim
