volta,objeto,folga_min_m,eventos_COLISAO,eventos_raspao
hist1,A_fresta90_2,0.0776,0,0
hist1,A_fresta90_1,0.0899,0,0
hist1,D_fresta80_2,0.1698,0,0
hist1,C_fresta60_1,0.2327,0,0
hist1,B_fresta70_1,0.2487,0,0
hist1,cone_3,0.2615,0,0
hist1,cone_1,0.2839,0,0
hist1,cone_4,0.2855,0,0
hist1,cone_2,0.3375,0,0
hist1,muro_sul,0.7053,0,0
hist1,muro_oeste,0.7500,0,0
hist1,D_fresta80_1,1.6507,0,0
hist2,A_fresta90_1,0.0630,0,0
hist2,cone_2,0.0643,0,0
hist2,cone_4,0.0785,0,0
hist2,B_fresta70_1,0.1726,0,0
hist2,A_fresta90_2,0.1780,0,0
hist2,D_fresta80_2,0.2377,0,0
hist2,C_fresta60_1,0.2423,0,0
hist2,cone_1,0.2504,0,0
hist2,cone_3,0.2730,0,0
hist2,muro_sul,0.7051,0,0
hist2,muro_oeste,0.7500,0,0
hist2,D_fresta80_1,1.6729,0,0
hist3,A_fresta90_2,0.0451,0,0
hist3,cone_2,0.1041,0,0
hist3,cone_4,0.1295,0,0
hist3,A_fresta90_1,0.1955,0,0
hist3,cone_3,0.2088,0,0
hist3,C_fresta60_1,0.2196,0,0
hist3,B_fresta70_1,0.2306,0,0
hist3,D_fresta80_2,0.3171,0,0
hist3,cone_1,0.3210,0,0
hist3,muro_sul,0.7049,0,0
hist3,muro_oeste,0.7500,0,0
hist3,D_fresta80_1,1.6928,0,0
