nav_id,start_ts,end_ts,duration_s,status,start_x,start_y,end_x,end_y,end_yaw,initial_plan_length_m,replans,rec_backup,rec_spin,rec_wait,distance_traveled_m,avg_linear_speed,max_linear_speed,time_stopped_s,direction_reversals
6c2857e4,104.110,157.948,53.84,ABORTED,10.519,2.112,10.546,2.130,2.125,3.575,42,1,0,1,4.268,0.080,0.300,32.247,12
a3ea6e3f,13.968,31.280,17.31,SUCCEEDED,-0.000,-0.000,3.992,-0.275,0.597,4.110,18,0,0,0,4.042,0.234,0.300,2.599,0
7ebb2e1b,32.778,44.976,12.20,SUCCEEDED,4.000,-0.269,5.251,1.199,0.535,2.004,12,0,0,0,2.009,0.165,0.300,4.680,0
7e20523b,46.469,67.704,21.24,SUCCEEDED,5.251,1.199,9.874,1.499,-0.438,4.545,21,0,0,0,4.649,0.219,0.300,2.000,0
8e55650b,69.180,75.891,6.71,SUCCEEDED,9.874,1.499,10.397,2.275,1.204,1.077,6,0,0,0,0.936,0.140,0.300,3.027,0
597a7919,77.354,277.520,200.17,ABORTED,10.424,2.345,11.585,2.585,2.542,6.984,177,2,2,2,17.096,0.086,0.267,115.262,46
