volta,objeto,folga_min_m,eventos_COLISAO,eventos_raspao
nominal1,cone_2,0.0000,0,18
nominal1,B_fresta70_1,0.1881,0,0
nominal1,cone_1,0.1966,0,0
nominal1,C_fresta60_1,0.1985,0,0
nominal1,D_fresta80_2,0.2051,0,0
nominal1,A_fresta90_2,0.2268,0,0
nominal1,cone_3,0.3033,0,0
nominal1,cone_4,0.3194,0,0
nominal1,muro_sul,0.7059,0,0
nominal1,muro_oeste,0.7500,0,0
nominal1,D_fresta80_1,1.6836,0,0
