nav_id,start_ts,end_ts,duration_s,status,start_x,start_y,end_x,end_y,end_yaw,initial_plan_length_m,replans,rec_backup,rec_spin,rec_wait,distance_traveled_m,avg_linear_speed,max_linear_speed,time_stopped_s,direction_reversals
b93b256f,29.553,46.296,16.74,SUCCEEDED,-0.000,-0.000,3.997,-0.266,0.436,4.110,18,0,0,0,4.039,0.242,0.300,2.110,0
b97733fc,47.697,60.870,13.17,SUCCEEDED,3.997,-0.266,5.242,1.197,0.341,1.996,14,0,0,0,2.023,0.154,0.300,5.601,0
3c8ec02c,62.288,81.608,19.32,SUCCEEDED,5.242,1.197,9.805,1.382,0.035,4.537,21,0,0,0,4.569,0.236,0.300,0.578,0
187390c4,83.007,89.970,6.96,SUCCEEDED,9.882,1.385,10.443,2.355,1.307,1.235,7,0,0,0,1.122,0.161,0.300,2.674,0
680e00ec,91.379,129.180,37.80,SUCCEEDED,10.443,2.355,10.572,5.991,1.875,6.824,35,0,0,1,5.781,0.153,0.300,12.443,6
9db1ba37,130.593,172.001,41.41,SUCCEEDED,10.572,5.991,4.670,5.784,2.771,7.713,44,0,0,0,7.814,0.189,0.300,12.976,0
ff64b32e,173.413,232.202,58.79,SUCCEEDED,4.670,5.784,0.924,1.170,-2.533,7.116,64,0,0,0,7.574,0.129,0.300,19.237,0
