nav_id,start_ts,end_ts,duration_s,status,start_x,start_y,end_x,end_y,end_yaw,initial_plan_length_m,replans,rec_backup,rec_spin,rec_wait,distance_traveled_m,avg_linear_speed,max_linear_speed,time_stopped_s,direction_reversals
94cd5b7b,19.512,35.560,16.05,SUCCEEDED,-0.000,-0.000,4.053,-0.252,0.206,4.110,17,0,0,0,4.083,0.255,0.300,1.513,0
eadad068,36.981,49.409,12.43,SUCCEEDED,4.054,-0.252,5.304,1.185,0.320,2.026,13,0,0,0,1.943,0.157,0.300,5.227,0
9f2b8537,50.817,75.852,25.04,SUCCEEDED,5.304,1.185,9.935,1.255,-0.342,4.545,26,0,0,0,4.716,0.189,0.300,5.384,0
f740b18f,77.273,83.904,6.63,SUCCEEDED,9.935,1.255,10.471,2.101,1.244,1.127,7,0,0,0,1.002,0.151,0.300,2.869,0
5f5609ca,85.308,110.862,25.55,SUCCEEDED,10.471,2.101,10.455,5.765,1.224,6.866,22,0,0,1,4.342,0.170,0.300,6.611,2
74c3f447,112.268,163.323,51.06,SUCCEEDED,10.455,5.765,4.908,6.173,2.705,7.544,55,0,0,0,8.325,0.163,0.300,17.133,2
82fca5b4,164.728,205.285,40.56,SUCCEEDED,4.908,6.173,0.606,1.945,-2.563,7.162,44,0,0,0,7.278,0.180,0.300,14.358,0
