volta,total_s,goals_ok,COLISAO,raspao,folga_min_m,samba,unstuck_s,parado_por_goal
arena_baseline1,236.4,5/5,2,28,-0.0000,7,0.0,g1:0.0 g2:0.2 g3:0.0 g4:0.0 g5:0.0
arena_latch1,222.8,5/5,0,0,0.0741,0,1.3,g1:0.0 g2:0.1 g3:0.0 g4:10.8 g5:0.0
latchN1,219.8,4/5,0,0,0.0620,0,2.9,g1:0.0 g2:0.0 g3:0.0 g4:16.4 g5:0.4
latchN2,251.2,5/5,0,0,0.0749,0,5.8,g1:0.0 g2:0.0 g3:0.0 g4:0.0 g5:16.5
latchN3,254.7,5/5,0,0,0.1014,0,6.2,g1:0.0 g2:0.0 g3:6.3 g4:0.4 g5:19.1
