volta,t,state,reason,ang,nav_wants,stuck_s,x,y
latchN1,16.746,monitoring,,0.0,0,,-0.0,-0.0
latchN1,164.1,turning,timeout,4.2,1,5.0,5.097,7.132
latchN1,164.4,grace,timeout,0.0,1,5.35,5.097,7.132
latchN1,166.3,monitoring,timeout,0.0,1,,5.097,7.132
latchN1,171.2,turning,timeout,4.2,1,5.09,5.097,7.132
latchN1,171.4,grace,timeout,0.0,1,5.31,5.097,7.132
latchN1,173.3,monitoring,timeout,0.0,1,,5.097,7.132
latchN1,178.0,reversing,timeout,0.0,1,5.09,5.097,7.132
latchN1,179.3,grace,timeout,0.0,1,6.55,5.409,7.062
latchN1,181.2,monitoring,timeout,0.0,1,,5.434,7.056
latchN2,15.579,monitoring,,0.0,0,,0.0,0.0
latchN2,215.2,advancing,near,0.0,1,3.08,-0.219,2.747
latchN2,216.3,grace,near,0.0,1,4.29,-0.402,2.626
latchN2,218.3,monitoring,near,0.0,1,,-0.408,2.622
latchN2,221.3,advancing,near,0.0,1,3.06,-0.408,2.622
latchN2,222.3,grace,near,0.0,1,4.16,-0.576,2.512
latchN2,224.2,monitoring,near,0.0,1,,-0.578,2.51
latchN2,235.8,advancing,near,0.0,1,3.08,-0.088,2.953
latchN2,236.9,grace,near,0.0,1,4.27,-0.271,2.829
latchN2,238.8,monitoring,near,0.0,1,,-0.276,2.826
latchN2,241.8,advancing,near,0.0,1,3.08,-0.276,2.826
latchN2,242.8,grace,near,0.0,1,4.17,-0.443,2.713
latchN2,244.7,monitoring,near,0.0,1,,-0.444,2.712
latchN3,15.678,monitoring,,0.0,0,,0.0,0.0
latchN3,126.5,advancing,near,0.0,1,3.0,10.834,5.03
latchN3,127.6,grace,near,0.0,1,4.22,10.888,5.241
latchN3,129.5,monitoring,near,0.0,1,,10.89,5.249
latchN3,131.5,reversing,near,0.0,1,2.0,10.89,5.249
latchN3,132.8,grace,near,0.0,1,3.43,10.82,4.941
latchN3,134.7,monitoring,near,0.0,1,,10.814,4.913
latchN3,225.3,advancing,near,0.0,1,3.04,-0.615,3.093
latchN3,226.4,grace,near,0.0,1,4.24,-0.806,2.984
latchN3,228.3,monitoring,near,0.0,1,,-0.812,2.981
latchN3,242.4,advancing,timeout,0.0,1,15.02,-0.812,2.981
latchN3,243.5,grace,timeout,0.0,1,16.23,-1.003,2.873
latchN3,245.3,monitoring,timeout,0.0,1,,-1.008,2.869
