t,cmd_vx,cmd_wz,odom_vx,odom_wz,imu_wz,yaw_deg,x,y
0.0,0.25,0.0,0.0,-0.0,0.0,-0.01,5.8814,0.1845
0.021,0.25,0.0,0.0,-0.0,0.0,-0.01,5.8814,0.1845
0.041,0.25,0.0,0.0,-0.001,0.0,-0.01,5.8814,0.1845
0.062,0.25,0.0,0.0,-0.001,0.0,-0.02,5.8814,0.1845
0.082,0.25,0.0,0.0,0.001,0.0,-0.01,5.8814,0.1845
0.102,0.25,0.0,0.0,0.001,0.0,-0.01,5.8814,0.1845
0.123,0.25,0.0,0.0,-0.0,0.0,-0.01,5.8814,0.1845
0.143,0.25,0.0,0.0,-0.0,0.0,-0.01,5.8814,0.1845
0.164,0.25,0.0,0.0,0.005,0.0,-0.01,5.8814,0.1845
0.184,0.25,0.0,0.0,-0.0,0.0,-0.01,5.8814,0.1845
0.204,0.25,0.0,0.0,-0.0,0.0,-0.01,5.8814,0.1845
0.225,0.25,0.0,0.0343,-0.0,0.0,-0.01,5.8821,0.1845
0.245,0.25,0.0,0.0343,-0.0,0.0,-0.01,5.8827,0.1846
0.266,0.25,0.0,0.0751,0.011,0.0,0.0,5.8842,0.1848
0.286,0.25,0.0,0.0751,0.011,0.0,0.02,5.8857,0.185
0.307,0.25,0.0,0.1567,-0.009,0.0,0.01,5.8888,0.1853
0.327,0.25,0.0,0.1868,-0.002,0.0,0.0,5.8926,0.1858
0.348,0.25,0.0,0.1868,-0.002,0.0,0.0,5.8963,0.1862
0.368,0.25,0.0,0.1975,0.004,0.0,0.01,5.9002,0.1866
0.389,0.25,0.0,0.2125,-0.001,0.0,0.01,5.9044,0.1871
0.409,0.25,0.0,0.2125,-0.001,0.0,0.0,5.9086,0.1876
0.43,0.25,0.0,0.219,0.014,0.0,0.02,5.913,0.1881
0.453,0.25,0.0,0.2318,0.007,0.0,0.04,5.9219,0.1891
0.475,0.25,0.0,0.2318,0.007,0.0,0.05,5.9265,0.1897
0.496,0.25,0.0,0.2426,-0.009,0.0,0.04,5.9314,0.1902
0.516,0.25,0.0,0.2383,0.01,0.0,0.05,5.9361,0.1908
0.536,0.25,0.0,0.2383,0.01,0.0,0.07,5.9408,0.1913
0.557,0.25,0.0,0.2576,0.008,0.0,0.07,5.9459,0.1919
0.577,0.25,0.0,0.2533,0.005,0.0,0.08,5.951,0.1925
0.598,0.25,0.0,0.2533,0.005,0.0,0.09,5.956,0.1931
0.618,0.25,0.0,0.2533,0.005,0.0,0.09,5.961,0.1937
0.639,0.25,0.0,0.2619,0.004,0.0,0.1,5.9662,0.1943
0.659,0.25,0.0,0.2619,0.002,0.0,0.1,5.9715,0.1949
0.68,0.25,0.0,0.2662,0.004,0.0,0.1,5.9767,0.1955
0.7,0.25,0.0,0.2662,0.004,0.0,0.11,5.982,0.1962
0.72,0.25,0.0,0.2619,0.011,0.0,0.12,5.9872,0.1968
0.741,0.25,0.0,0.2619,0.011,0.0,0.13,5.9925,0.1974
0.761,0.25,0.0,0.2662,0.003,0.0,0.14,5.9977,0.198
0.782,0.25,0.0,0.2662,0.003,0.0,0.14,6.003,0.1986
0.802,0.25,0.0,0.1932,-0.009,0.0,0.13,6.0069,0.1991
0.823,0.25,0.0,0.1932,-0.009,0.0,0.12,6.0107,0.1995
0.843,0.25,0.0,0.2662,0.016,0.0,0.14,6.016,0.2002
0.864,0.25,0.0,0.2877,-0.004,0.0,0.13,6.0217,0.2008
0.884,0.25,0.0,0.2877,-0.004,0.0,0.13,6.0274,0.2015
0.905,0.25,0.0,0.1975,0.001,0.0,0.13,6.0313,0.202
1.281,0.25,0.0,0.2705,0.014,-0.007,0.21,6.1316,0.2138
1.302,0.25,0.0,0.2726,0.007,-0.007,0.22,6.137,0.2144
1.322,0.25,0.0,0.2726,0.007,0.001,0.23,6.1425,0.2151
1.343,0.25,0.0,0.2941,-0.001,0.001,0.23,6.1483,0.2158
1.363,0.25,0.0,0.2941,-0.001,-0.001,0.23,6.1541,0.2165
1.384,0.25,0.0,0.2769,0.001,-0.031,0.23,6.1596,0.2171
1.404,0.25,0.0,0.2018,0.031,-0.031,0.26,6.1636,0.2176
1.424,0.25,0.0,0.2018,0.031,0.006,0.3,6.1677,0.2181
1.445,0.25,0.0,0.337,-0.006,0.006,0.29,6.1743,0.2189
1.465,0.25,0.0,0.337,-0.006,-0.003,0.29,6.181,0.2197
1.486,0.25,0.0,0.2984,0.003,-0.003,0.29,6.1869,0.2204
1.506,0.25,0.0,0.2984,0.003,-0.004,0.29,6.1928,0.2211
1.527,0.25,0.0,0.2748,0.004,-0.004,0.3,6.1983,0.2218
1.547,0.25,0.0,0.2748,0.004,0.0,0.3,6.2037,0.2225
1.567,0.25,0.0,0.2748,-0.0,-0.002,0.3,6.2092,0.2231
1.588,0.25,0.0,0.2791,0.002,0.01,0.31,6.2147,0.2238
1.608,0.25,0.0,0.2748,-0.01,0.01,0.29,6.2202,0.2244
1.629,0.25,0.0,0.2748,-0.01,0.01,0.28,6.2257,0.2251
1.656,0.25,0.0,0.2018,-0.002,-0.003,0.27,6.2351,0.2262
1.677,0.25,0.0,0.2726,0.003,-0.003,0.27,6.2405,0.2269
1.697,0.25,0.0,0.2726,0.003,-0.004,0.28,6.246,0.2275
1.718,0.25,0.0,0.2812,0.004,-0.009,0.28,6.2515,0.2282
1.738,0.25,0.0,0.2641,0.009,-0.009,0.29,6.2568,0.2288
1.759,0.25,0.0,0.2641,0.009,0.001,0.3,6.262,0.2295
1.779,0.25,0.0,0.2726,-0.001,0.001,0.3,6.2674,0.2301
1.8,0.25,0.0,0.2726,-0.001,-0.017,0.3,6.2728,0.2308
1.82,0.25,0.0,0.2683,0.017,-0.017,0.32,6.2782,0.2314
1.84,0.25,0.0,0.2683,0.017,-0.011,0.34,6.2835,0.2321
1.861,0.25,0.0,0.2705,0.011,-0.022,0.35,6.2889,0.2327
1.881,0.25,0.0,0.2662,0.022,-0.022,0.38,6.2942,0.2334
1.902,0.25,0.0,0.2662,0.022,-0.016,0.4,6.2994,0.234
1.922,0.25,0.0,0.2683,0.016,-0.016,0.42,6.3048,0.2347
1.942,0.25,0.0,0.2683,0.016,-0.015,0.44,6.3101,0.2353
1.963,0.25,0.0,0.2662,0.015,-0.016,0.45,6.3154,0.236
1.983,0.25,0.0,0.2662,0.016,-0.016,0.47,6.3207,0.2366
2.004,0.25,0.0,0.2662,0.016,-0.017,0.49,6.3259,0.2373
2.024,0.25,0.0,0.2619,0.017,-0.017,0.51,6.3311,0.2379
2.044,0.25,0.0,0.2619,0.017,-0.022,0.53,6.3363,0.2386
2.065,0.25,0.0,0.2662,0.022,-0.022,0.56,6.3416,0.2392
2.085,0.25,0.0,0.2662,0.022,-0.02,0.58,6.3469,0.2399
2.106,0.25,0.0,0.2641,0.02,-0.022,0.6,6.3521,0.2405
2.126,0.25,0.0,0.2662,0.022,-0.022,0.63,6.3574,0.2412
2.147,0.25,0.0,0.2662,0.022,-0.01,0.65,6.3627,0.2419
2.167,0.25,0.0,0.1954,0.01,-0.01,0.67,6.3666,0.2424
2.188,0.25,0.0,0.1954,0.01,-0.021,0.68,6.3705,0.2429
2.208,0.25,0.0,0.3327,0.021,-0.012,0.7,6.3771,0.2437
2.229,0.25,0.0,0.2834,0.012,-0.012,0.71,6.3827,0.2444
2.251,0.25,0.0,0.1975,0.023,-0.023,0.75,6.3922,0.2456
2.273,0.25,0.0,0.2576,0.017,-0.017,0.77,6.3973,0.2463
2.294,0.25,0.0,0.2576,0.017,-0.008,0.79,6.4025,0.247
2.315,0.25,0.0,0.337,0.022,-0.022,0.82,6.4091,0.2478
2.336,0.25,0.0,0.337,0.022,-0.015,0.84,6.4158,0.2487
2.356,0.25,0.0,0.2683,0.023,-0.023,0.87,6.4211,0.2494
2.377,0.25,0.0,0.2683,0.023,-0.022,0.9,6.4265,0.2501
2.397,0.25,0.0,0.2018,0.022,-0.01,0.92,6.4305,0.2506
2.418,0.25,0.0,0.2726,0.01,-0.01,0.93,6.4359,0.2513
2.438,0.25,0.0,0.2726,0.01,-0.009,0.95,6.4413,0.252
2.459,0.25,0.0,0.292,0.009,-0.019,0.96,6.4471,0.2528
2.479,0.25,0.0,0.2662,0.019,-0.019,0.98,6.4523,0.2535
2.499,0.25,0.0,0.2662,0.019,-0.015,1.0,6.4576,0.2542
2.52,0.25,0.0,0.2018,0.015,-0.015,1.02,6.4616,0.2547
2.54,0.25,0.0,0.2018,0.015,-0.011,1.03,6.4656,0.2553
2.561,0.25,0.0,0.337,0.011,-0.011,1.05,6.4723,0.2562
2.581,0.25,0.0,0.337,0.011,-0.037,1.06,6.479,0.2571
2.602,0.25,0.0,0.2748,0.037,-0.006,1.1,6.4844,0.2578
2.622,0.25,0.0,0.1868,0.006,-0.006,1.11,6.4881,0.2583
2.643,0.25,0.0,0.1868,0.006,-0.02,1.11,6.4918,0.2588
2.663,0.25,0.0,0.2791,0.02,-0.02,1.14,6.4974,0.2595
2.684,0.25,0.0,0.2791,0.02,-0.024,1.16,6.5029,0.2603
2.704,0.25,0.0,0.2898,0.024,-0.024,1.19,6.5086,0.2611
2.725,0.25,0.0,0.2898,0.024,-0.018,1.22,6.5144,0.2619
2.745,0.25,0.0,0.2791,0.018,-0.026,1.24,6.5199,0.2626
2.766,0.25,0.0,0.1911,0.026,-0.026,1.27,6.5237,0.2631
2.786,0.25,0.0,0.1911,0.026,-0.022,1.3,6.5275,0.2637
2.807,0.25,0.0,0.2683,0.022,-0.022,1.32,6.5328,0.2644
2.827,0.25,0.0,0.2683,0.022,-0.024,1.35,6.5381,0.2651
2.848,0.25,0.0,0.2812,0.024,-0.009,1.37,6.5437,0.2659
2.868,0.25,0.0,0.2726,0.009,-0.009,1.38,6.5491,0.2667
2.891,0.25,0.0,0.1932,0.025,-0.025,1.42,6.5583,0.268
2.912,0.25,0.0,0.1932,0.025,-0.025,1.42,6.5583,0.268
2.936,0.25,0.0,0.3413,0.019,-0.019,1.47,6.5689,0.2695
2.956,0.25,0.0,0.2963,0.019,-0.019,1.5,6.5747,0.2703
2.978,0.25,0.0,0.2963,0.019,-0.014,1.52,6.5806,0.2711
2.999,0.25,0.0,0.2748,0.014,-0.014,1.53,6.5861,0.2719
3.019,0.25,0.0,0.2748,0.014,-0.006,1.55,6.5915,0.2727
3.04,0.25,0.0,0.2641,0.006,-0.021,1.56,6.5967,0.2734
3.06,0.25,0.0,0.3263,0.021,-0.021,1.58,6.6032,0.2743
3.081,0.25,0.0,0.3263,0.021,-0.022,1.6,6.6097,0.2753
3.101,0.25,0.0,0.2662,0.022,-0.028,1.63,6.6149,0.276
3.122,0.25,0.0,0.1889,0.028,-0.028,1.66,6.6187,0.2766
3.142,0.25,0.0,0.1889,0.028,-0.012,1.69,6.6224,0.2771
3.162,0.25,0.0,0.2662,0.012,-0.012,1.71,6.6277,0.2779
3.183,0.25,0.0,0.2662,0.012,-0.026,1.72,6.6329,0.2786
3.203,0.25,0.0,0.2898,0.026,-0.026,1.75,6.6386,0.2795
3.224,0.25,0.0,0.2898,0.026,-0.007,1.78,6.6444,0.2803
3.244,0.25,0.0,0.2619,0.007,-0.029,1.79,6.6496,0.2811
3.265,0.25,0.0,0.2641,0.029,-0.029,1.82,6.6548,0.2818
3.285,0.25,0.0,0.2641,0.029,-0.008,1.85,6.66,0.2826
3.305,0.25,0.0,0.3263,0.008,-0.024,1.86,6.6665,0.2836
3.326,0.25,0.0,0.2619,0.024,-0.024,1.89,6.6716,0.2843
3.346,0.25,0.0,0.2619,0.024,-0.024,1.92,6.6768,0.2851
3.367,0.25,0.0,0.2619,0.024,-0.018,1.95,6.682,0.2859
3.387,0.25,0.0,0.1911,0.018,-0.028,1.97,6.6858,0.2865
3.408,0.25,0.0,0.2619,0.028,-0.028,2.0,6.691,0.2872
3.43,0.25,0.0,0.2683,0.016,-0.016,2.05,6.7015,0.2888
3.454,0.25,0.0,0.2683,0.016,-0.016,2.07,6.7068,0.2896
3.475,0.25,0.0,0.2598,0.013,-0.036,2.08,6.7119,0.2904
3.495,0.25,0.0,0.2576,0.036,-0.036,2.12,6.717,0.2912
3.517,0.25,0.0,0.2576,0.036,-0.027,2.17,6.7221,0.292
3.537,0.25,0.0,0.2576,0.027,-0.027,2.2,6.7272,0.2928
3.558,0.25,0.0,0.2576,0.027,-0.023,2.23,6.7323,0.2935
3.579,0.25,0.0,0.2683,0.023,-0.026,2.25,6.7376,0.2944
