t,cmd_vx,cmd_wz,odom_vx,odom_wz,imu_wz,yaw_deg,x,y
1.622,0.25,0.0,0.2018,-0.002,0.002,0.06,0.3556,-0.0201
1.643,0.25,0.0,0.2018,-0.002,-0.003,0.05,0.3597,-0.0203
1.663,0.25,0.0,0.2748,0.003,0.004,0.06,0.3651,-0.0206
1.684,0.25,0.0,0.2726,-0.004,-0.002,0.05,0.3706,-0.0209
1.704,0.25,0.0,0.2726,0.002,-0.002,0.06,0.376,-0.0212
1.725,0.25,0.0,0.2726,0.002,0.002,0.06,0.3815,-0.0216
1.745,0.25,0.0,0.1954,-0.002,-0.004,0.06,0.3854,-0.0218
1.766,0.25,0.0,0.3392,0.004,-0.004,0.06,0.3922,-0.0222
1.786,0.25,0.0,0.3392,0.004,-0.004,0.06,0.3989,-0.0225
1.807,0.25,0.0,0.3392,0.004,0.004,0.07,0.4057,-0.0229
1.827,0.25,0.0,0.2726,-0.004,-0.013,0.06,0.4111,-0.0232
1.848,0.25,0.0,0.2683,0.013,-0.013,0.08,0.4165,-0.0235
1.868,0.25,0.0,0.2683,0.013,-0.011,0.09,0.4219,-0.0238
1.889,0.25,0.0,0.2662,0.011,-0.011,0.11,0.4272,-0.0241
1.912,0.25,0.0,0.3349,0.01,-0.01,0.13,0.4392,-0.0248
1.933,0.25,0.0,0.2662,0.02,-0.02,0.15,0.4445,-0.0251
1.954,0.25,0.0,0.2662,0.02,-0.02,0.18,0.4498,-0.0254
1.979,0.25,0.0,0.2662,0.02,-0.01,0.2,0.4551,-0.0257
2.0,0.25,0.0,0.1975,0.01,-0.017,0.21,0.4591,-0.0259
