t,cmd_vx,cmd_wz,odom_vx,odom_wz,imu_wz,yaw_deg,x,y
0.0,0.25,0.0,0.0,-0.0,0.002,-0.05,0.0945,-0.015
0.021,0.25,0.0,0.0,-0.002,0.002,-0.05,0.0945,-0.015
0.042,0.25,0.0,0.0,-0.002,0.001,-0.06,0.0945,-0.015
0.062,0.25,0.0,0.0,-0.001,0.001,-0.06,0.0945,-0.015
0.086,0.25,0.0,0.0,-0.0,0.0,-0.06,0.0945,-0.015
0.107,0.25,0.0,0.0,-0.0,0.0,-0.06,0.0945,-0.015
0.13,0.25,0.0,0.0,-0.0,-0.002,-0.06,0.0945,-0.015
0.15,0.25,0.0,0.0,0.008,-0.008,-0.05,0.0945,-0.015
0.171,0.25,0.0,0.0,0.008,-0.005,-0.04,0.0945,-0.015
0.191,0.25,0.0,0.0,0.005,-0.005,-0.03,0.0945,-0.015
0.212,0.25,0.0,0.0,0.005,0.007,-0.03,0.0945,-0.015
0.232,0.25,0.0,0.0365,-0.007,-0.008,-0.04,0.0952,-0.015
0.252,0.25,0.0,0.0537,0.008,-0.008,-0.03,0.0963,-0.0151
0.273,0.25,0.0,0.0537,0.008,-0.004,-0.02,0.0974,-0.0151
0.293,0.25,0.0,0.1546,0.004,-0.004,-0.01,0.1004,-0.0152
0.314,0.25,0.0,0.1546,0.004,-0.017,-0.01,0.1035,-0.0153
0.334,0.25,0.0,0.1954,0.017,0.003,0.01,0.1074,-0.0155
0.354,0.25,0.0,0.2039,-0.003,0.003,0.01,0.1115,-0.0156
0.375,0.25,0.0,0.2039,-0.003,0.005,0.0,0.1156,-0.0158
0.395,0.25,0.0,0.2233,-0.005,0.005,-0.0,0.12,-0.016
0.416,0.25,0.0,0.2233,-0.005,-0.014,-0.01,0.1245,-0.0161
0.436,0.25,0.0,0.2147,0.014,0.0,0.01,0.1288,-0.0163
0.456,0.25,0.0,0.176,-0.0,0.0,0.01,0.1323,-0.0164
0.477,0.25,0.0,0.176,-0.0,-0.001,0.01,0.1358,-0.0166
0.497,0.25,0.0,0.3027,0.001,-0.001,0.01,0.1419,-0.0168
0.518,0.25,0.0,0.3027,0.001,0.0,0.01,0.1479,-0.017
0.538,0.25,0.0,0.2426,-0.0,-0.013,0.01,0.1528,-0.0172
0.559,0.25,0.0,0.2555,0.013,-0.013,0.03,0.1579,-0.0174
0.579,0.25,0.0,0.2555,0.013,0.01,0.04,0.163,-0.0176
0.599,0.25,0.0,0.2533,-0.01,0.01,0.03,0.168,-0.0178
0.62,0.25,0.0,0.2533,-0.01,-0.012,0.02,0.1731,-0.018
0.64,0.25,0.0,0.2555,0.012,0.004,0.03,0.1782,-0.0182
0.661,0.25,0.0,0.2555,-0.004,0.004,0.03,0.1833,-0.0184
0.681,0.25,0.0,0.2555,-0.004,-0.002,0.02,0.1884,-0.0186
0.702,0.25,0.0,0.2555,0.002,-0.002,0.03,0.1935,-0.0188
0.722,0.25,0.0,0.2555,0.002,-0.008,0.03,0.1987,-0.019
0.743,0.25,0.0,0.1954,0.008,0.01,0.04,0.2026,-0.0191
0.763,0.25,0.0,0.3242,-0.01,0.01,0.03,0.209,-0.0193
0.786,0.25,0.0,0.2855,-0.0,0.0,0.01,0.2212,-0.0198
0.809,0.25,0.0,0.2855,-0.0,0.0,0.01,0.2269,-0.02
0.829,0.25,0.0,0.1932,-0.01,0.01,0.0,0.2308,-0.0202
0.85,0.25,0.0,0.1932,-0.01,-0.009,-0.01,0.2347,-0.0203
0.87,0.25,0.0,0.2662,0.016,0.01,0.01,0.24,-0.0205
