t,cmd_vx,cmd_wz,odom_vx,odom_wz,imu_wz,yaw_deg,x,y
0.0,0.25,0.0,0.0,0.001,0.0,-0.04,2.2272,-0.0267
0.021,0.25,0.0,0.0,0.001,0.0,-0.04,2.2272,-0.0267
0.041,0.25,0.0,0.0,-0.0,0.0,-0.04,2.2272,-0.0267
0.062,0.25,0.0,0.0,-0.0,0.0,-0.04,2.2272,-0.0267
0.082,0.25,0.0,0.0,-0.0,0.0,-0.04,2.2272,-0.0267
0.103,0.25,0.0,0.0,-0.0,0.0,-0.04,2.2272,-0.0267
0.123,0.25,0.0,0.0,-0.001,0.0,-0.04,2.2272,-0.0267
0.144,0.25,0.0,0.0,-0.007,0.0,-0.05,2.2272,-0.0267
0.165,0.25,0.0,0.0,-0.007,0.0,-0.06,2.2272,-0.0267
0.185,0.25,0.0,0.0129,0.007,0.0,-0.05,2.2274,-0.0267
0.206,0.25,0.0,0.0129,0.007,0.0,-0.04,2.2277,-0.0267
0.226,0.25,0.0,0.0515,-0.004,0.0,-0.05,2.2287,-0.0267
0.247,0.25,0.0,0.0515,-0.004,0.0,-0.05,2.2297,-0.0267
0.268,0.25,0.0,0.1181,0.01,0.0,-0.04,2.2321,-0.0267
0.291,0.25,0.0,0.1481,0.002,0.0,-0.03,2.2374,-0.0268
0.311,0.25,0.0,0.1782,-0.006,0.0,-0.03,2.241,-0.0268
0.332,0.25,0.0,0.1782,-0.006,0.0,-0.04,2.2445,-0.0269
0.353,0.25,0.0,0.1954,0.002,0.0,-0.04,2.2484,-0.0269
0.373,0.25,0.0,0.2168,0.009,0.0,-0.03,2.2528,-0.0269
0.394,0.25,0.0,0.2168,0.009,0.0,-0.02,2.2571,-0.027
0.414,0.25,0.0,0.2168,0.009,0.0,-0.01,2.2615,-0.027
0.435,0.25,0.0,0.2168,0.002,0.0,-0.01,2.2658,-0.0271
0.456,0.25,0.0,0.2318,-0.01,0.0,-0.02,2.2704,-0.0271
0.476,0.25,0.0,0.2318,-0.01,0.0,-0.03,2.2751,-0.0272
0.496,0.25,0.0,0.234,0.007,0.0,-0.02,2.2797,-0.0272
0.517,0.25,0.0,0.2512,0.002,0.0,-0.02,2.2848,-0.0273
0.537,0.25,0.0,0.2512,0.002,0.0,-0.02,2.2898,-0.0273
0.558,0.25,0.0,0.2533,0.002,0.0,-0.01,2.2949,-0.0274
0.578,0.25,0.0,0.2533,0.002,0.0,-0.01,2.2999,-0.0274
0.598,0.25,0.0,0.2533,-0.001,0.0,-0.01,2.305,-0.0275
0.619,0.25,0.0,0.2533,-0.001,0.0,-0.01,2.3101,-0.0275
0.639,0.25,0.0,0.2533,-0.001,0.0,-0.01,2.3151,-0.0276
0.66,0.25,0.0,0.2533,-0.001,0.0,-0.02,2.3202,-0.0276
0.68,0.25,0.0,0.2533,-0.001,0.0,-0.02,2.3252,-0.0277
0.701,0.25,0.0,0.2533,-0.001,0.0,-0.02,2.3303,-0.0278
0.721,0.25,0.0,0.2533,-0.001,0.0,-0.02,2.3354,-0.0278
0.741,0.25,0.0,0.2533,-0.001,0.0,-0.02,2.3405,-0.0279
0.762,0.25,0.0,0.2533,-0.001,0.0,-0.02,2.3455,-0.0279
0.783,0.25,0.0,0.2533,-0.001,0.0,-0.02,2.3506,-0.028
0.803,0.25,0.0,0.2533,-0.001,0.0,-0.02,2.3557,-0.028
0.824,0.25,0.0,0.2533,-0.001,0.0,-0.03,2.3607,-0.0281
0.844,0.25,0.0,0.2533,-0.001,0.0,-0.03,2.3658,-0.0281
