t,cmd_vx,cmd_wz,odom_vx,odom_wz,imu_wz,yaw_deg,x,y
0.0,0.25,0.0,0.0,0.002,-0.001,0.04,4.3271,0.016
0.021,0.25,0.0,0.0,0.001,-0.001,0.05,4.3271,0.016
0.041,0.25,0.0,0.0,0.001,-0.001,0.05,4.3271,0.016
0.062,0.25,0.0,0.0,0.001,-0.001,0.05,4.3271,0.016
0.082,0.25,0.0,0.0,0.001,0.0,0.05,4.3271,0.016
0.103,0.25,0.0,0.0,-0.0,0.0,0.05,4.3271,0.016
0.123,0.25,0.0,0.0,-0.0,0.0,0.05,4.3271,0.016
0.143,0.25,0.0,0.0,-0.0,-0.001,0.05,4.3271,0.016
0.164,0.25,0.0,0.0,0.001,-0.001,0.05,4.3271,0.016
0.184,0.25,0.0,0.0,0.001,-0.001,0.05,4.3271,0.016
0.207,0.25,0.0,0.0,0.001,0.0,0.05,4.3271,0.016
0.228,0.25,0.0,0.0,-0.0,0.0,0.05,4.3271,0.016
0.248,0.25,0.0,0.0,-0.0,0.0,0.05,4.3271,0.016
0.269,0.25,0.0,0.0,-0.0,0.0,0.05,4.3271,0.016
0.289,0.25,0.0,0.0,-0.0,-0.002,0.05,4.3271,0.016
0.31,0.25,0.0,0.0,0.002,-0.002,0.06,4.3271,0.016
0.33,0.25,0.0,0.0,0.002,-0.002,0.06,4.3271,0.016
0.353,0.25,0.0,0.0,0.007,-0.007,0.07,4.3271,0.016
0.378,0.25,0.0,0.0,0.007,-0.012,0.08,4.3271,0.016
0.398,0.25,0.0,0.0129,0.012,-0.004,0.09,4.3274,0.016
0.419,0.25,0.0,0.0601,0.004,-0.004,0.09,4.3286,0.0161
0.439,0.25,0.0,0.0601,0.004,-0.014,0.1,4.3298,0.0162
0.459,0.25,0.0,0.1095,0.014,-0.014,0.11,4.332,0.0164
0.48,0.25,0.0,0.1095,0.014,-0.011,0.13,4.3342,0.0165
0.5,0.25,0.0,0.176,0.011,-0.02,0.14,4.3377,0.0168
0.521,0.25,0.0,0.2147,0.02,-0.02,0.17,4.3419,0.0171
0.541,0.25,0.0,0.2147,0.02,-0.009,0.19,4.3462,0.0174
0.562,0.25,0.0,0.219,0.009,-0.009,0.2,4.3506,0.0177
0.582,0.25,0.0,0.219,0.009,-0.012,0.21,4.355,0.0181
0.603,0.25,0.0,0.2297,0.012,-0.012,0.22,4.3595,0.0184
0.623,0.25,0.0,0.2297,0.012,-0.022,0.24,4.3641,0.0188
0.643,0.25,0.0,0.2297,0.022,-0.017,0.26,4.3687,0.0191
0.664,0.25,0.0,0.2662,0.017,-0.017,0.28,4.374,0.0195
0.684,0.25,0.0,0.2662,0.017,-0.017,0.3,4.3793,0.0199
0.705,0.25,0.0,0.2555,0.017,-0.017,0.32,4.3844,0.0203
