t,cmd_vx,cmd_wz,odom_vx,odom_wz,imu_wz,yaw_deg,x,y
0.0,-0.25,0.0,0.0,-0.001,0.001,0.03,7.9866,0.5136
0.021,-0.25,0.0,0.0,-0.001,0.0,0.03,7.9866,0.5136
0.042,-0.25,0.0,0.0,-0.0,0.0,0.03,7.9866,0.5136
0.062,-0.25,0.0,0.0,-0.0,0.0,0.03,7.9866,0.5136
0.082,-0.25,0.0,0.0,-0.0,0.0,0.03,7.9866,0.5136
0.103,-0.25,0.0,0.0,-0.0,0.0,0.03,7.9866,0.5136
0.123,-0.25,0.0,0.0,-0.0,-0.002,0.03,7.9866,0.5136
0.144,-0.25,0.0,0.0,0.002,-0.002,0.03,7.9866,0.5136
0.165,-0.25,0.0,0.0,0.002,0.001,0.03,7.9866,0.5136
0.185,-0.25,0.0,0.0,-0.001,0.002,0.03,7.9866,0.5136
0.206,-0.25,0.0,0.0,-0.002,0.002,0.03,7.9866,0.5136
0.228,-0.25,0.0,0.0,-0.001,0.001,0.03,7.9866,0.5136
0.249,-0.25,0.0,0.0,-0.001,0.001,0.03,7.9866,0.5136
0.273,-0.25,0.0,-0.1159,-0.005,0.008,0.02,7.9843,0.5131
0.294,-0.25,0.0,-0.1739,-0.008,0.008,0.01,7.9809,0.5123
0.315,-0.25,0.0,-0.1739,-0.008,0.02,0.0,7.9775,0.5115
0.336,-0.25,0.0,-0.1868,-0.02,0.02,-0.02,7.9739,0.5107
0.356,-0.25,0.0,-0.1868,-0.02,0.011,-0.04,7.9702,0.5098
0.377,-0.25,0.0,-0.2211,-0.011,0.011,-0.06,7.9659,0.5088
0.397,-0.25,0.0,-0.2211,-0.011,0.01,-0.07,7.9616,0.5078
0.418,-0.25,0.0,-0.2125,-0.01,0.012,-0.08,7.9575,0.5069
0.438,-0.25,0.0,-0.2276,-0.012,0.012,-0.1,7.9531,0.5059
0.458,-0.25,0.0,-0.2276,-0.012,0.013,-0.11,7.9486,0.5048
0.479,-0.25,0.0,-0.234,-0.013,0.013,-0.12,7.9441,0.5038
0.499,-0.25,0.0,-0.234,-0.013,0.023,-0.14,7.9395,0.5027
0.52,-0.25,0.0,-0.2469,-0.023,0.021,-0.16,7.9347,0.5016
0.54,-0.25,0.0,-0.2447,-0.021,0.021,-0.19,7.9299,0.5006
0.561,-0.25,0.0,-0.2447,-0.021,0.01,-0.21,7.9251,0.4995
0.581,-0.25,0.0,-0.2447,-0.01,0.01,-0.22,7.9204,0.4984
0.602,-0.25,0.0,-0.2447,-0.01,0.022,-0.24,7.9156,0.4973
0.622,-0.25,0.0,-0.2533,-0.022,0.01,-0.26,7.9107,0.4962
0.643,-0.25,0.0,-0.2512,-0.01,0.01,-0.27,7.9058,0.4951
0.663,-0.25,0.0,-0.2512,-0.01,0.03,-0.28,7.9009,0.4939
0.684,-0.25,0.0,-0.2512,-0.03,0.03,-0.32,7.896,0.4928
0.704,-0.25,0.0,-0.2512,-0.03,0.01,-0.35,7.8911,0.4917
0.725,-0.25,0.0,-0.2769,-0.01,0.022,-0.36,7.8857,0.4905
0.745,-0.25,0.0,-0.2555,-0.022,0.022,-0.39,7.8807,0.4894
0.767,-0.25,0.0,-0.2598,-0.017,0.017,-0.43,7.8706,0.4871
0.791,-0.25,0.0,-0.2598,-0.017,0.017,-0.45,7.8655,0.486
0.813,-0.25,0.0,-0.2598,-0.013,0.021,-0.47,7.8605,0.4849
0.833,-0.25,0.0,-0.2598,-0.021,0.021,-0.49,7.8554,0.4837
0.854,-0.25,0.0,-0.2598,-0.021,0.014,-0.52,7.8503,0.4826
0.875,-0.25,0.0,-0.2598,-0.014,0.014,-0.53,7.8453,0.4815
0.895,-0.25,0.0,-0.2598,-0.014,0.013,-0.55,7.8402,0.4803
0.916,-0.25,0.0,-0.2598,-0.013,0.013,-0.56,7.8351,0.4792
0.936,-0.25,0.0,-0.2598,-0.013,0.02,-0.58,7.8301,0.4781
0.956,-0.25,0.0,-0.1932,-0.02,0.013,-0.6,7.8263,0.4773
0.977,-0.25,0.0,-0.2598,-0.013,0.013,-0.62,7.8212,0.4761
0.997,-0.25,0.0,-0.2598,-0.013,0.017,-0.63,7.8161,0.475
1.018,-0.25,0.0,-0.2812,-0.017,0.017,-0.65,7.8106,0.4738
1.038,-0.25,0.0,-0.2812,-0.017,0.009,-0.67,7.8051,0.4726
1.058,-0.25,0.0,-0.2576,-0.009,0.018,-0.68,7.8001,0.4715
1.079,-0.25,0.0,-0.2576,-0.018,0.018,-0.7,7.7951,0.4704
1.099,-0.25,0.0,-0.2576,-0.018,0.006,-0.72,7.79,0.4693
