t,x,y,yaw_deg,folga_min,obj,evento
113.30,12.157,6.988,-37.1,0.0162,cone_3,raspao
113.35,12.159,6.990,-38.4,0.0090,cone_3,raspao
113.40,12.161,6.991,-39.6,0.0025,cone_3,raspao
113.45,12.162,6.991,-40.6,-0.0000,cone_3,COLISAO
113.50,12.160,6.988,-41.8,0.0002,cone_3,raspao
113.56,12.158,6.985,-43.0,0.0008,cone_3,raspao
113.61,12.156,6.982,-44.2,0.0017,cone_3,raspao
113.66,12.154,6.979,-45.5,0.0031,cone_3,raspao
113.71,12.152,6.976,-46.8,0.0048,cone_3,raspao
113.76,12.150,6.973,-48.1,0.0068,cone_3,raspao
113.82,12.148,6.970,-49.3,0.0091,cone_3,raspao
113.87,12.146,6.968,-50.4,0.0113,cone_3,raspao
113.92,12.144,6.965,-51.5,0.0141,cone_3,raspao
113.97,12.142,6.963,-52.6,0.0167,cone_3,raspao
114.02,12.140,6.961,-53.7,0.0198,cone_3,raspao
118.83,12.187,6.973,-36.4,0.0192,cone_3,raspao
118.89,12.190,6.975,-37.5,0.0129,cone_3,raspao
118.94,12.193,6.978,-38.8,0.0066,cone_3,raspao
118.99,12.195,6.980,-40.0,0.0016,cone_3,raspao
119.04,12.196,6.980,-41.1,-0.0000,cone_3,COLISAO
119.09,12.196,6.978,-42.3,0.0003,cone_3,raspao
119.14,12.195,6.976,-43.5,0.0011,cone_3,raspao
119.20,12.194,6.974,-44.7,0.0022,cone_3,raspao
119.25,12.193,6.973,-45.9,0.0037,cone_3,raspao
119.30,12.193,6.971,-47.0,0.0055,cone_3,raspao
119.35,12.192,6.970,-48.2,0.0076,cone_3,raspao
119.41,12.191,6.968,-49.2,0.0100,cone_3,raspao
119.46,12.190,6.967,-50.3,0.0126,cone_3,raspao
119.51,12.189,6.965,-51.5,0.0156,cone_3,raspao
119.56,12.189,6.964,-52.6,0.0189,cone_3,raspao
