t_wall,topic,vx,wz,px,py,extra
1788647684.122,odom,0.0000,-0.0002,0.000,0.000,
1788647684.153,odom,0.0000,-0.0010,0.000,0.000,
1788647684.289,odom,0.0000,-0.0010,0.000,0.000,
1788647684.298,odom,0.0000,-0.0008,0.000,0.000,
1788647684.317,odom,0.0000,-0.0012,0.000,0.000,
1788647684.339,odom,0.0000,-0.0008,0.000,0.000,
1788647684.368,odom,0.0000,-0.0008,0.000,0.000,
1788647684.394,odom,0.0000,-0.0010,0.000,0.000,
1788647684.418,odom,0.0000,-0.0010,0.000,0.000,
1788647684.449,odom,0.0000,-0.0010,0.000,0.000,
1788647684.465,odom,0.0000,-0.0010,0.000,0.000,
1788647684.521,odom,0.0000,-0.0012,0.000,0.000,
1788647684.549,odom,0.0000,-0.0012,0.000,0.000,
1788647684.614,odom,0.0000,-0.0008,0.000,0.000,
1788647684.629,odom,0.0000,-0.0006,0.000,0.000,
1788647684.639,odom,0.0000,-0.0020,0.000,0.000,
1788647684.656,odom,0.0000,-0.0010,0.000,0.000,
1788647684.674,odom,0.0000,-0.0010,0.000,0.000,
1788647684.694,odom,0.0000,0.0000,0.000,0.000,
1788647684.714,odom,0.0000,-0.0010,0.000,0.000,
1788647684.745,odom,0.0000,-0.0026,0.000,0.000,
1788647684.794,odom,0.0000,-0.0024,0.000,0.000,
1788647684.845,odom,0.0000,-0.0008,0.000,0.000,
1788647684.889,odom,0.0000,-0.0010,0.000,0.000,
1788647684.906,odom,0.0000,-0.0018,0.000,0.000,
1788647684.917,odom,0.0000,0.0000,0.000,0.000,
1788647684.934,odom,0.0000,-0.0010,0.000,0.000,
1788647684.962,odom,0.0000,-0.0004,0.000,0.000,
1788647684.988,odom,0.0000,-0.0002,0.000,0.000,
1788647685.023,odom,0.0000,0.0000,0.000,0.000,
1788647685.063,odom,0.0000,-0.0008,0.000,0.000,
1788647685.084,odom,0.0000,-0.0008,0.000,0.000,
1788647685.095,odom,0.0000,-0.0010,0.000,0.000,
1788647685.115,odom,0.0000,-0.0010,0.000,0.000,
1788647685.158,odom,0.0000,-0.0010,0.000,0.000,
1788647685.171,odom,0.0000,-0.0012,0.000,0.000,
1788647685.190,odom,0.0000,-0.0010,0.000,0.000,
1788647685.198,odom,0.0000,-0.0008,0.000,0.000,
1788647685.217,odom,0.0000,-0.0016,0.000,0.000,
1788647685.235,odom,0.0000,-0.0008,0.000,0.000,
1788647685.255,odom,0.0000,-0.0010,0.000,0.000,
1788647685.276,odom,0.0000,-0.0008,0.000,0.000,
1788647685.297,odom,0.0000,-0.0010,0.000,0.000,
1788647685.312,odom,0.0000,-0.0018,0.000,0.000,
1788647685.333,odom,0.0000,-0.0010,0.000,0.000,
1788647685.365,odom,0.0000,-0.0002,0.000,0.000,
1788647685.393,odom,0.0000,-0.0010,0.000,0.000,
1788647685.417,odom,0.0000,-0.0008,0.000,0.000,
1788647685.427,odom,0.0000,-0.0008,0.000,0.000,
1788647685.439,odom,0.0000,-0.0008,0.000,0.000,
1788647685.475,odom,0.0000,-0.0002,0.000,0.000,
1788647685.515,odom,0.0000,0.0000,0.000,0.000,
1788647685.533,odom,0.0000,-0.0008,0.000,0.000,
1788647685.551,odom,0.0000,-0.0010,0.000,0.000,
1788647685.606,odom,0.0000,-0.0014,0.000,0.000,
1788647685.612,odom,0.0000,-0.0012,0.000,0.000,
1788647685.628,odom,0.0000,-0.0008,0.000,0.000,
1788647685.645,odom,0.0000,0.0000,0.000,0.000,
1788647685.661,odom,0.0000,-0.0008,0.000,0.000,
1788647685.683,odom,0.0000,-0.0008,0.000,0.000,
1788647685.701,odom,0.0000,-0.0018,0.000,0.000,
1788647685.725,odom,0.0000,-0.0010,0.000,0.000,
1788647685.739,odom,0.0000,-0.0012,0.000,0.000,
1788647685.757,odom,0.0000,-0.0008,0.000,0.000,
1788647685.804,odom,0.0000,-0.0002,0.000,0.000,
1788647685.826,odom,0.0000,-0.0014,0.000,0.000,
1788647685.847,odom,0.0000,-0.0010,0.000,0.000,
1788647685.865,odom,0.0000,-0.0010,0.000,0.000,
1788647685.885,odom,0.0000,-0.0010,0.000,0.000,
1788647685.917,odom,0.0000,-0.0010,0.000,0.000,
1788647685.935,odom,0.0000,-0.0020,0.000,0.000,
1788647685.948,odom,0.0000,-0.0008,0.000,0.000,
1788647685.967,odom,0.0000,-0.0016,0.000,0.000,
1788647685.982,odom,0.0000,-0.0008,0.000,0.000,
1788647686.006,odom,0.0000,-0.0010,0.000,0.000,
1788647686.025,odom,0.0000,-0.0010,0.000,0.000,
1788647686.034,odom,0.0000,-0.0008,0.000,0.000,
1788647686.067,odom,0.0000,-0.0008,0.000,0.000,
1788647686.083,odom,0.0000,-0.0002,0.000,0.000,
1788647686.096,odom,0.0000,-0.0008,0.000,0.000,
1788647686.119,odom,0.0000,-0.0010,0.000,0.000,
1788647686.136,odom,0.0000,-0.0012,0.000,0.000,
1788647686.154,odom,0.0000,-0.0010,0.000,0.000,
1788647686.172,odom,0.0000,-0.0012,0.000,0.000,
1788647686.196,odom,0.0000,-0.0006,0.000,0.000,
1788647686.216,odom,0.0000,-0.0012,0.000,0.000,
1788647686.232,odom,0.0000,-0.0012,0.000,0.000,
1788647686.253,odom,0.0000,-0.0008,0.000,0.000,
1788647686.275,odom,0.0000,-0.0010,0.000,0.000,
1788647686.296,odom,0.0000,-0.0010,0.000,0.000,
1788647686.315,odom,0.0000,-0.0012,0.000,0.000,
1788647686.341,odom,0.0000,-0.0012,0.000,0.000,
1788647686.356,odom,0.0000,-0.0008,0.000,0.000,
1788647686.374,odom,0.0000,-0.0006,0.000,0.000,
1788647686.399,odom,0.0000,-0.0008,0.000,0.000,
1788647686.416,odom,0.0000,-0.0008,0.000,0.000,
1788647686.435,odom,0.0000,-0.0008,0.000,0.000,
1788647686.454,odom,0.0000,-0.0010,0.000,0.000,
1788647686.475,odom,0.0000,-0.0002,0.000,0.000,
1788647686.503,odom,0.0000,-0.0014,0.000,0.000,
1788647686.520,odom,0.0000,-0.0026,0.000,0.000,
1788647686.534,odom,0.0000,-0.0016,0.000,0.000,
1788647686.554,odom,0.0000,-0.0008,0.000,0.000,
1788647686.574,odom,0.0000,0.0000,0.000,0.000,
1788647686.594,odom,0.0000,0.0008,0.000,0.000,
1788647686.614,odom,0.0000,0.0004,0.000,0.000,
1788647686.639,odom,0.0000,-0.0012,0.000,0.000,
1788647686.656,odom,0.0000,-0.0010,0.000,0.000,
1788647686.675,odom,0.0000,-0.0008,0.000,0.000,
1788647686.694,odom,0.0000,-0.0010,0.000,0.000,
1788647686.714,odom,0.0000,0.0004,0.000,0.000,
1788647686.734,odom,0.0000,-0.0012,0.000,0.000,
1788647686.753,odom,0.0000,-0.0014,0.000,0.000,
1788647686.775,odom,0.0000,-0.0010,0.000,0.000,
1788647686.797,odom,0.0000,-0.0010,0.000,0.000,
1788647686.818,odom,0.0000,-0.0008,0.000,0.000,
1788647686.833,odom,0.0000,-0.0008,0.000,0.000,
1788647686.857,odom,0.0000,-0.0008,0.000,0.000,
1788647686.875,odom,0.0000,-0.0008,0.000,0.000,
1788647686.894,odom,0.0000,-0.0010,0.000,0.000,
1788647686.915,odom,0.0000,-0.0006,0.000,0.000,
1788647686.933,odom,0.0000,-0.0012,0.000,0.000,
1788647686.952,odom,0.0000,-0.0012,0.000,0.000,
1788647686.974,odom,0.0000,-0.0012,0.000,0.000,
1788647686.994,odom,0.0000,-0.0018,0.000,0.000,
1788647687.014,odom,0.0000,-0.0010,0.000,0.000,
1788647687.034,odom,0.0000,-0.0008,0.000,0.000,
1788647687.062,odom,0.0000,-0.0028,0.000,0.000,
1788647687.087,odom,0.0000,-0.0010,0.000,0.000,
1788647687.102,odom,0.0000,-0.0014,0.000,0.000,
1788647687.152,odom,0.0000,-0.0014,0.000,0.000,
1788647687.168,odom,0.0000,-0.0008,0.000,0.000,
1788647687.191,odom,0.0000,-0.0004,0.000,0.000,
1788647687.230,odom,0.0000,-0.0018,0.000,0.000,
1788647687.249,odom,0.0000,-0.0014,0.000,0.000,
1788647687.254,odom,0.0000,-0.0008,0.000,0.000,
1788647687.273,odom,0.0000,-0.0018,0.000,0.000,
1788647687.287,odom,0.0000,-0.0012,0.000,0.000,
1788647687.325,odom,0.0000,-0.0012,0.000,0.000,
1788647687.333,odom,0.0000,-0.0016,0.000,0.000,
1788647687.367,odom,0.0000,-0.0006,0.000,0.000,
1788647687.387,odom,0.0000,-0.0006,0.000,0.000,
1788647687.427,odom,0.0000,-0.0012,0.000,0.000,
1788647687.451,odom,0.0000,-0.0012,0.000,0.000,
1788647687.461,odom,0.0000,-0.0010,0.000,0.000,
1788647687.465,odom,0.0000,-0.0010,0.000,0.000,
1788647687.516,odom,0.0000,0.0012,0.000,0.000,
1788647687.554,odom,0.0000,-0.0008,0.000,0.000,
1788647687.622,odom,0.0000,-0.0010,0.000,0.000,
1788647687.679,odom,0.0000,-0.0006,0.000,0.000,
1788647687.693,odom,0.0000,-0.0008,0.000,0.000,
1788647687.771,odom,0.0000,0.0000,0.000,0.000,
1788647687.902,odom,0.0000,-0.0006,0.000,0.000,
1788647688.188,odom,0.0000,-0.0002,0.000,0.000,
1788647688.285,odom,0.0000,-0.0010,0.000,0.000,
1788647688.401,odom,0.0000,-0.0010,0.000,0.000,
1788647688.536,odom,0.0000,-0.0010,0.000,0.000,
1788647688.862,odom,0.0000,-0.0020,0.000,0.000,
1788647689.062,odom,0.0000,-0.0012,0.000,0.000,
1788647689.191,odom,0.0000,-0.0012,0.000,0.000,
1788647689.314,odom,0.0000,-0.0004,0.000,0.000,
1788647689.464,odom,0.0000,-0.0004,0.000,0.000,
1788647689.667,odom,0.0000,-0.0010,0.000,0.000,
1788647689.806,odom,0.0000,-0.0010,0.000,0.000,
1788647689.828,odom,0.0000,-0.0010,0.000,0.000,
1788647689.843,odom,0.0000,-0.0006,0.000,0.000,
1788647689.855,odom,0.0000,-0.0008,0.000,0.000,
1788647689.866,odom,0.0000,0.0000,0.000,0.000,
1788647689.876,odom,0.0000,-0.0002,0.000,0.000,
1788647689.885,odom,0.0000,-0.0010,0.000,0.000,
1788647689.893,odom,0.0000,-0.0010,0.000,0.000,
1788647689.907,odom,0.0000,-0.0026,0.000,0.000,
1788647689.918,odom,0.0000,-0.0026,0.000,0.000,
1788647689.936,odom,0.0000,-0.0026,0.000,0.000,
1788647689.946,odom,0.0000,-0.0008,0.000,0.000,
1788647690.062,odom,0.0000,-0.0010,0.000,0.000,
1788647690.123,odom,0.0000,-0.0012,0.000,0.000,
1788647690.260,odom,0.0000,-0.0012,0.000,0.000,
1788647690.368,odom,0.0000,-0.0008,0.000,0.000,
1788647690.435,odom,0.0000,-0.0008,0.000,0.000,
